total_weight_gr,Total Diskon,num_product_categories,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,discount_ratio,shipping_ratio,is_cod,has_shipping_discount,order_year,order_month,product_categories,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,net_qty,demand_level,label
80,0,1,0,10000,6610,10000,0.0,1.51285930408472,1,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,1,Low Demand,0
1000,0,1,0,15000,33450,15000,0.0,0.4484304932735426,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Kartu Kredit/Debit,KAB. SUKABUMI,JAWA BARAT,2,Medium Demand,1
1000,0,1,8000,0,32110,8000,0.0,0.24914356898162565,1,0,2024,9,Tempat Nasi,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,1,Low Demand,0
1000,0,1,0,10000,81625,10000,0.0,0.1225114854517611,0,1,2024,9,Other,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KAB. BOGOR,JAWA BARAT,1,Low Demand,0
8000,0,1,1000,20000,723000,21000,0.0,0.029045643153526972,0,1,2024,9,Seal / Baut / Roof,Kargo-JNE Trucking (JTR),Online Payment,KOTA BEKASI,JAWA BARAT,2,Medium Demand,1
80,0,1,4000,10000,11000,14000,0.0,1.2727272727272727,0,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,Online Payment,KAB. SUBANG,JAWA BARAT,1,Low Demand,0
1000,0,1,1000,20000,36496,21000,0.0,0.5754055238930293,1,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA PADANG,SUMATERA BARAT,2,Medium Demand,1
3030,0,2,8000,0,50700,8000,0.0,0.15779092702169625,0,0,2024,9,"Celengan, Perlengkapan Packing",Hemat Kargo-SPX Hemat,Online Payment,KAB. BOGOR,JAWA BARAT,3,Medium Demand,1
80,0,1,2500,10000,10000,12500,0.0,1.25,0,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. KARAWANG,JAWA BARAT,1,Low Demand,0
500,0,1,1000,15000,22800,16000,0.0,0.7017543859649122,0,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KAB. GARUT,JAWA BARAT,1,Low Demand,0
1000,0,1,0,17000,35800,17000,0.0,0.4748603351955307,0,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA PALEMBANG,SUMATERA SELATAN,2,Medium Demand,1
500,0,1,0,11000,21800,11000,0.0,0.5045871559633027,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KAB. BANDUNG,JAWA BARAT,1,Low Demand,0
3600,0,1,0,39500,92800,39500,0.0,0.42564655172413796,1,1,2024,9,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. LEBONG,BENGKULU,6,High Demand,2
500,0,1,0,8000,21800,8000,0.0,0.3669724770642202,0,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KAB. BEKASI,JAWA BARAT,1,Low Demand,0
80,0,1,0,10000,6610,10000,0.0,1.51285930408472,1,1,2024,9,Aksesoris Pintu,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA JAKARTA UTARA,DKI JAKARTA,1,Low Demand,0
300,0,1,0,10000,18340,10000,0.0,0.5452562704471101,1,1,2024,9,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA JAKARTA BARAT,DKI JAKARTA,1,Low Demand,0
8000,0,1,21000,50000,743000,71000,0.0,0.0955585464333782,0,1,2024,9,Seal / Baut / Roof,Instant (Versi Lama)-SPX Instant (Versi Lama),Saldo ShopeePay,KAB. TANGERANG,BANTEN,2,Medium Demand,1
80,0,1,0,8000,1051,8000,0.0,7.611798287345385,0,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,SPayLater,KOTA JAKARTA TIMUR,DKI JAKARTA,1,Low Demand,0
500,0,1,0,10000,15499,10000,0.0,0.6452029163171817,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA JAKARTA PUSAT,DKI JAKARTA,1,Low Demand,0
200,0,1,0,15000,15280,15000,0.0,0.981675392670157,1,1,2024,9,Peralatan Makan,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. INDRAMAYU,JAWA BARAT,1,Low Demand,0
1000,0,1,0,0,599,10000,0.0,16.69449081803005,0,0,2024,9,Baskom / Mangkok Besar,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA TANGERANG SELATAN,BANTEN,0,Low Demand,0
300,0,1,4500,15000,16708,19500,0.0,1.167105578166148,1,1,2024,9,Keranjang,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. PACITAN,JAWA TIMUR,1,Low Demand,0
100,0,1,500,10000,17320,10500,0.0,0.6062355658198614,1,1,2024,9,Saringan / Strainer,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BANDUNG,JAWA BARAT,1,Low Demand,0
500,0,1,8000,0,26175,8000,0.0,0.30563514804202485,0,0,2024,9,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KAB. BOGOR,JAWA BARAT,1,Low Demand,0
1000,0,1,0,28000,40996,28000,0.0,0.6829934627768562,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,SPayLater,KOTA DENPASAR,BALI,2,Medium Demand,1
6000,0,1,0,0,0,17000,0.0,0.0,0,0,2024,9,Baskom / Mangkok Besar,Kargo-JNE Trucking (JTR),Saldo ShopeePay,KOTA BEKASI,JAWA BARAT,0,Low Demand,0
17500,0,1,0,17500,110215,17500,0.0,0.15878056525881232,0,1,2024,9,Celengan,Same Day-SPX Sameday,Online Payment,KAB. TANGERANG,BANTEN,7,High Demand,2
100,0,1,0,10000,16300,10000,0.0,0.6134969325153374,1,1,2024,9,Saringan / Strainer,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA JAKARTA SELATAN,DKI JAKARTA,1,Low Demand,0
1000,0,1,0,10000,30900,10000,0.0,0.32362459546925565,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Online Payment,KOTA JAKARTA UTARA,DKI JAKARTA,2,Medium Demand,1
1000,0,1,0,14000,18340,14000,0.0,0.7633587786259542,1,1,2024,9,Tempat Nasi,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TEGAL,JAWA TENGAH,1,Low Demand,0
1000,0,1,8000,0,78990,8000,0.0,0.1012786428661856,0,0,2024,9,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,Online Payment,KOTA DEPOK,JAWA BARAT,5,High Demand,2
600,0,1,21500,10000,43330,31500,0.0,0.7269789983844911,1,1,2024,9,Peralatan Makan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BANJARMASIN,KALIMANTAN SELATAN,1,Low Demand,0
600,0,1,0,15000,16205,15000,0.0,0.9256402344955261,1,1,2024,9,Baskom / Mangkok Besar,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. CIREBON,JAWA BARAT,1,Low Demand,0
2160,0,3,0,39000,40780,39000,0.0,0.9563511525257479,1,1,2024,9,"Mangkok Sambal / Saus, Nampan / Tray, Peralatan Makan",Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. LAMPUNG TIMUR,LAMPUNG,6,High Demand,2
500,0,1,0,8000,6200,8000,0.0,1.2903225806451613,1,1,2024,9,Gayung,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,1,Low Demand,0
2000,0,1,0,33000,32610,33000,0.0,1.0119595216191353,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Online Payment,KOTA BENGKULU,BENGKULU,2,Medium Demand,1
600,0,1,0,33500,47000,33500,0.0,0.7127659574468085,0,1,2024,9,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. MUARO JAMBI,JAMBI,3,Medium Demand,1
100,0,1,2000,10000,18850,12000,0.0,0.636604774535809,1,1,2024,9,Saringan / Strainer,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,1,Low Demand,0
1200,0,1,4000,10000,30994,14000,0.0,0.45170032909595403,1,1,2024,9,Baskom / Mangkok Besar,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. MALANG,JAWA TIMUR,1,Low Demand,0
2000,0,1,8000,10000,42800,18000,0.0,0.4205607476635514,0,1,2024,9,Celengan,Instant (Versi Lama)-SPX Instant (Versi Lama),SeaBank Bayar Instan,KOTA TANGERANG,BANTEN,2,Medium Demand,1
200,0,1,0,15000,15892,15000,0.0,0.9438711301283664,1,1,2024,9,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. MAJALENGKA,JAWA BARAT,1,Low Demand,0
4000,0,1,8000,20000,91457,28000,0.0,0.3061548049903233,0,1,2024,9,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KOTA SURABAYA,JAWA TIMUR,2,Medium Demand,1
1500,0,1,1000,15000,38740,16000,0.0,0.41300980898296336,1,1,2024,9,Keranjang,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BEKASI,JAWA BARAT,3,Medium Demand,1
100,0,1,2000,15000,18850,17000,0.0,0.9018567639257294,1,1,2024,9,Saringan / Strainer,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA PALEMBANG,SUMATERA SELATAN,1,Low Demand,0
200,0,1,8000,0,22793,8000,0.0,0.3509849515202036,1,0,2024,9,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA TIMUR,DKI JAKARTA,1,Low Demand,0
200,0,1,0,15000,16141,15000,0.0,0.9293104516448795,1,1,2024,9,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. JEMBER,JAWA TIMUR,1,Low Demand,0
900,0,1,0,15000,36232,15000,0.0,0.41399867520423933,0,1,2024,9,Botol / Gelas / Mug,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA SURAKARTA (SOLO),JAWA TENGAH,6,High Demand,2
500,0,1,0,9500,21800,9500,0.0,0.43577981651376146,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA TANGERANG SELATAN,BANTEN,1,Low Demand,0
500,0,1,10000,15000,27900,25000,0.0,0.8960573476702509,0,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KOTA PANGKAL PINANG,BANGKA BELITUNG,1,Low Demand,0
1700,0,1,6000,40000,63858,46000,0.0,0.7203482727301199,1,1,2024,9,Gantungan Baju / Hanger,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA MEDAN,SUMATERA UTARA,1,Low Demand,0
1000,0,1,0,37000,93000,37000,0.0,0.3978494623655914,0,1,2024,9,Peralatan Makan,Reguler (Cashless)-SPX Standard,Online Payment,KOTA MEDAN,SUMATERA UTARA,1,Low Demand,0
500,0,1,0,8000,21800,8000,0.0,0.3669724770642202,0,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. BOGOR,JAWA BARAT,1,Low Demand,0
2000,0,1,0,34000,38168,34000,0.0,0.8907985747222804,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,SPayLater,KOTA BATAM,KEPULAUAN RIAU,2,Medium Demand,1
1200,0,1,0,14000,79158,14000,0.0,0.17686146693953864,1,1,2024,9,Lunch Box / Rantang,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. PROBOLINGGO,JAWA TIMUR,1,Low Demand,0
900,0,1,0,34000,32824,34000,0.0,1.0358274433341457,1,1,2024,9,Keranjang,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA BENGKULU,BENGKULU,3,Medium Demand,1
200,0,1,0,15000,16810,15000,0.0,0.892325996430696,1,1,2024,9,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. PURWAKARTA,JAWA BARAT,1,Low Demand,0
1200,0,1,0,15000,66800,15000,0.0,0.2245508982035928,0,1,2024,9,Seal / Baut / Roof,Reguler (Cashless)-JNE Reguler,Kartu Kredit/Debit,KOTA SURABAYA,JAWA TIMUR,4,High Demand,2
1200,0,1,8500,40000,87190,48500,0.0,0.556256451427916,1,1,2024,9,Lunch Box / Rantang,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. ACEH BARAT DAYA,NANGGROE ACEH DARUSSALAM (NAD),1,Low Demand,0
2000,0,1,0,20000,96472,20000,0.0,0.20731403930674186,1,1,2024,9,Lunch Box / Rantang,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA DEPOK,JAWA BARAT,8,High Demand,2
500,0,1,0,9500,21196,9500,0.0,0.44819777316474807,1,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA BOGOR,JAWA BARAT,1,Low Demand,0
2200,0,2,0,15000,51000,15000,0.0,0.29411764705882354,0,1,2024,9,"Baskom / Mangkok Besar, Peralatan Makan",Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KAB. SUKABUMI,JAWA BARAT,2,Medium Demand,1
300,0,1,0,15000,18340,15000,0.0,0.8178844056706652,1,1,2024,9,Peralatan Kamar Mandi,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. PAMEKASAN,JAWA TIMUR,1,Low Demand,0
400,0,1,11500,40000,41080,51500,0.0,1.2536514118792599,1,1,2024,9,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. POHUWATO,GORONTALO,2,Medium Demand,1
800,0,1,0,15000,29785,15000,0.0,0.5036091992613732,0,1,2024,9,Baskom / Mangkok Besar,Reguler (Cashless)-SPX Standard,SPayLater,KAB. SUKABUMI,JAWA BARAT,1,Low Demand,0
2000,0,1,0,34400,37434,34400,0.0,0.9189506865416466,1,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SIMALUNGUN,SUMATERA UTARA,2,Medium Demand,1
500,0,1,0,10000,13929,10000,0.0,0.7179266278986287,1,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA JAKARTA TIMUR,DKI JAKARTA,1,Low Demand,0
100,0,1,2000,10000,11594,12000,0.0,1.0350181128169742,0,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KOTA BANDUNG,JAWA BARAT,1,Low Demand,0
400,0,1,0,14500,32620,14500,0.0,0.44451256897608826,1,1,2024,9,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. SIDOARJO,JAWA TIMUR,2,Medium Demand,1
2000,0,1,0,28000,38536,28000,0.0,0.7265933153414988,1,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA DENPASAR,BALI,2,Medium Demand,1
1200,0,1,0,10000,26500,10000,0.0,0.37735849056603776,1,1,2024,9,Baskom / Mangkok Besar,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA TANGERANG,BANTEN,1,Low Demand,0
500,0,1,0,10500,18238,10500,0.0,0.5757210220418906,1,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BANDUNG,JAWA BARAT,1,Low Demand,0
1000,0,1,0,14000,26000,14000,0.0,0.5384615384615384,0,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. CIREBON,JAWA BARAT,2,Medium Demand,1
600,0,1,0,15000,17500,15000,0.0,0.8571428571428571,0,1,2024,9,Baskom / Mangkok Besar,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KAB. GRESIK,JAWA TIMUR,1,Low Demand,0
400,0,1,0,13000,32620,13000,0.0,0.39852851011649293,1,1,2024,9,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SERANG,BANTEN,2,Medium Demand,1
500,0,1,0,9500,20914,9500,0.0,0.45424117815817155,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KAB. BOGOR,JAWA BARAT,1,Low Demand,0
80,0,1,500,10000,7120,10500,0.0,1.4747191011235956,1,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BANDUNG,JAWA BARAT,1,Low Demand,0
100,0,1,2000,15000,18340,17000,0.0,0.9269356597600873,1,1,2024,9,Saringan / Strainer,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA PALEMBANG,SUMATERA SELATAN,1,Low Demand,0
600,0,1,0,10000,20770,10000,0.0,0.4814636494944632,0,1,2024,9,Lunch Box / Rantang,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA BEKASI,JAWA BARAT,1,Low Demand,0
250,0,1,0,10000,10440,10000,0.0,0.9578544061302682,0,1,2024,9,Lunch Box / Rantang,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA JAKARTA BARAT,DKI JAKARTA,1,Low Demand,0
500,0,1,0,15000,20862,15000,0.0,0.719010641357492,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KAB. PASURUAN,JAWA TIMUR,1,Low Demand,0
500,0,1,0,15000,20070,15000,0.0,0.7473841554559043,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,SPayLater,KAB. PURWAKARTA,JAWA BARAT,1,Low Demand,0
200,0,1,0,8000,16300,8000,0.0,0.49079754601226994,1,1,2024,9,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAKARTA TIMUR,DKI JAKARTA,1,Low Demand,0
500,0,1,0,8000,18238,8000,0.0,0.43864458822239283,1,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA DEPOK,JAWA BARAT,1,Low Demand,0
1000,0,1,0,18000,16000,18000,0.0,1.125,1,1,2024,9,Tempat Nasi,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. DEMAK,JAWA TENGAH,1,Low Demand,0
1000,0,1,0,10000,31385,10000,0.0,0.3186235462800701,0,1,2024,9,Baskom / Mangkok Besar,Reguler (Cashless)-SPX Standard,Online Payment,KOTA TANGERANG SELATAN,BANTEN,1,Low Demand,0
500,0,1,8000,0,23713,8000,0.0,0.3373676886096234,0,0,2024,9,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA TANGERANG,BANTEN,1,Low Demand,0
500,0,1,0,10000,20525,10000,0.0,0.48721071863581,0,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,SPayLater,KAB. KARAWANG,JAWA BARAT,1,Low Demand,0
400,0,1,0,35000,32620,35000,0.0,1.0729613733905579,1,1,2024,9,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. GIANYAR,BALI,2,Medium Demand,1
500,0,1,0,10000,18900,10000,0.0,0.5291005291005291,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA JAKARTA BARAT,DKI JAKARTA,1,Low Demand,0
500,0,1,0,10000,20864,10000,0.0,0.47929447852760737,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,Online Payment,KOTA JAKARTA TIMUR,DKI JAKARTA,1,Low Demand,0
500,0,1,0,8000,20998,8000,0.0,0.3809886655871988,0,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,SPayLater,KAB. BEKASI,JAWA BARAT,1,Low Demand,0
500,0,1,0,9500,20949,9500,0.0,0.45348226645663275,1,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,1,Low Demand,0
1000,0,1,0,12000,11200,12000,0.0,1.0714285714285714,1,1,2024,9,Gayung,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SUKABUMI,JAWA BARAT,2,Medium Demand,1
100,0,1,500,15000,17160,15500,0.0,0.9032634032634033,0,1,2024,9,Saringan / Strainer,Hemat Kargo-SPX Hemat,SPayLater,KOTA SURABAYA,JAWA TIMUR,1,Low Demand,0
2250,0,2,0,40000,54855,40000,0.0,0.7291951508522468,0,1,2024,9,"Peralatan Makan, Teko / Jug",Reguler (Cashless)-SPX Standard,Online Payment,KAB. TANJUNG JABUNG BARAT,JAMBI,2,Medium Demand,1
500,0,1,0,10000,19000,10000,0.0,0.5263157894736842,0,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA BANDUNG,JAWA BARAT,1,Low Demand,0
500,0,1,0,9500,17813,9500,0.0,0.5333183629933195,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,SPayLater,KAB. TANGERANG,BANTEN,1,Low Demand,0
1800,0,1,0,14000,47500,14000,0.0,0.29473684210526313,0,1,2024,9,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KAB. BANYUWANGI,JAWA TIMUR,3,Medium Demand,1
9150,0,2,0,20000,71500,20000,0.0,0.27972027972027974,0,1,2024,9,"Baskom / Mangkok Besar, Saringan / Strainer",Reguler (Cashless)-SPX Standard,Online Payment,KOTA JAKARTA BARAT,DKI JAKARTA,3,Medium Demand,1
1500,0,1,0,16000,93625,16000,0.0,0.17089452603471295,0,1,2024,9,Teko / Jug,Hemat Kargo-SPX Hemat,Online Payment,KOTA JAKARTA TIMUR,DKI JAKARTA,1,Low Demand,0
500,0,1,0,10000,20998,10000,0.0,0.4762358319839985,0,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,SPayLater,KOTA JAKARTA SELATAN,DKI JAKARTA,1,Low Demand,0
160,0,1,4000,10000,16300,14000,0.0,0.8588957055214724,1,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TASIKMALAYA,JAWA BARAT,2,Medium Demand,1
600,0,1,25500,10000,41820,35500,0.0,0.8488761358201817,1,1,2024,9,Baskom / Mangkok Besar,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SANGGAU,KALIMANTAN BARAT,1,Low Demand,0
80,0,1,0,9500,6050,9500,0.0,1.5702479338842976,0,1,2024,9,Aksesoris Pintu,Reguler (Cashless)-SPX Standard,SPayLater,KOTA BEKASI,JAWA BARAT,1,Low Demand,0
100,0,1,4000,10000,20380,14000,0.0,0.6869479882237488,1,1,2024,9,Saringan / Strainer,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. PANDEGLANG,BANTEN,1,Low Demand,0
21600,0,2,5000,15000,79800,20000,0.0,0.2506265664160401,0,1,2024,9,"Baskom / Mangkok Besar, Celengan",Instant (Versi Lama)-SPX Instant (Versi Lama),Online Payment,KAB. TANGERANG,BANTEN,4,High Demand,2
2000,0,2,0,20000,35000,20000,0.0,0.5714285714285714,1,1,2024,9,"Keranjang, Rak / Rak Serbaguna",Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. BELITUNG,BANGKA BELITUNG,2,Medium Demand,1
1000,0,1,0,10000,67660,10000,0.0,0.14779781259237362,0,1,2024,9,Lunch Box / Rantang,Reguler (Cashless)-JNE Reguler,SPayLater,KOTA TANGERANG SELATAN,BANTEN,1,Low Demand,0
3600,0,1,0,15000,95860,15000,0.0,0.15647819737116628,1,1,2024,9,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA MADIUN,JAWA TIMUR,6,High Demand,2
80,0,1,0,7500,6610,7500,0.0,1.13464447806354,1,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA CILEGON,BANTEN,1,Low Demand,0
500,0,1,0,10000,21400,10000,0.0,0.4672897196261682,1,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,1,Low Demand,0
990,0,1,0,13000,33640,13000,0.0,0.3864447086801427,1,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SERANG,BANTEN,4,High Demand,2
160,0,1,3000,10000,15280,13000,0.0,0.8507853403141361,1,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. PANDEGLANG,BANTEN,2,Medium Demand,1
500,0,1,4000,10000,25276,14000,0.0,0.5538851084032284,1,1,2024,9,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BOJONEGORO,JAWA TIMUR,1,Low Demand,0
1000,0,1,0,15000,50470,15000,0.0,0.2972062611452348,1,1,2024,9,Baskom / Mangkok Besar,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. MOJOKERTO,JAWA TIMUR,1,Low Demand,0
400,0,1,4000,10000,31090,14000,0.0,0.45030556449018977,1,1,2024,9,Keranjang,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. MOJOKERTO,JAWA TIMUR,1,Low Demand,0
24000,0,1,296000,40000,2435500,336000,0.0,0.13795935126257441,0,1,2024,9,Seal / Baut / Roof,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. BANYUMAS,JAWA TENGAH,6,High Demand,2
100,0,1,9000,10000,25990,19000,0.0,0.7310504040015391,1,1,2024,9,Saringan / Strainer,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. NGANJUK,JAWA TIMUR,1,Low Demand,0
200,0,1,0,9000,9160,9000,0.0,0.982532751091703,1,1,2024,9,Botol / Gelas / Mug,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BANDUNG,JAWA BARAT,1,Low Demand,0
20000,0,1,20500,20000,212335,40500,0.0,0.1907363364494784,0,1,2024,9,Nampan / Tray,Kargo-J&T Cargo,Saldo ShopeePay,KOTA SEMARANG,JAWA TENGAH,2,Medium Demand,1
80,0,1,4000,10000,10180,14000,0.0,1.37524557956778,1,1,2024,9,Aksesoris Pintu,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. JEMBER,JAWA TIMUR,1,Low Demand,0
500,0,1,0,9500,21592,9500,0.0,0.43997776954427564,1,1,2024,9,Celengan,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA TANGERANG,BANTEN,1,Low Demand,0
200,0,1,4000,10000,20890,14000,0.0,0.6701771182383915,1,1,2024,9,Mangkok Sambal / Saus,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TASIKMALAYA,JAWA BARAT,1,Low Demand,0
600,0,1,4000,10000,20380,14000,0.0,0.6869479882237488,1,1,2024,9,Baskom / Mangkok Besar,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. PAMEKASAN,JAWA TIMUR,1,Low Demand,0
200,0,1,0,10000,19180,10000,0.0,0.5213764337851929,0,1,2024,9,Aksesoris Pintu,Reguler (Cashless)-SPX Standard,SPayLater,KOTA JAKARTA TIMUR,DKI JAKARTA,2,Medium Demand,1
500,0,1,21500,15000,40168,36500,0.0,0.9086835291774547,1,1,2024,9,Celengan,Hemat Kargo-J&T Economy,COD (Bayar di Tempat),KAB. ROKAN HILIR,RIAU,1,Low Demand,0
